Filter By Length,Label
"cakep,banget,masyaallah",negatif
"mana,sempet,nyasar,bogor,hari,tinggal,anter,malah,masalah,operasional,ngerti,lagi",negatif
"bojo,kulo",netral
"kirim,pake,frozen",positif
"saya,kirim,resi,tolong,update,status",netral
"hallo,order,saya,refund,tanpa,konfirmasi,lagi,sama,udah,banyak,refund,tanpa,terang,saya,udah,komplain,tunggu,infestigasi,padahal,status,udah,terima,seller,kembali",negatif
"aduh,makasih",positif
,netral
"paket,bawa,rumah,dulu,sama,kurir,kali,sore,sampe,sekarang,paket,sampe",negatif
,netral
"masalah,masih,pake,ekspedisi,udah,jual,pake,ekspedisi,jual,bilang,otomatis,shopee,ngatur,males,lanja,shopee,kalo,ketemu,ekspedisi,lelet",negatif
"ngga,benah,juga,ekspedisi,heran,cape,capek,sekali,kali,kecewa,sama,layan,anter,jktdepok,bisa,minggu,lebih,nyampenya,tangerangjaktim,hampir,minggu,nyasar,pula,lelet,ngawur,moga,barang,rusakhilang",negatif
"fureya,minn",netral
"mantap,saya,suka,saya,suka",positif
"yang,nganterin,bday,tshirtnya,flora,cantik,yaaa",positif
"masih,pick,paket,paket,blum,dipick,pick,harus,counter",netral
ajak,netral
"haloooo,dengan,kecewa,sekali,padahal,paket,pesan,dengan,waktu,sama,dengan,ekspedisi,beda,udah,sampai,jadi,sekali,kali,please,tolong,baik,dengan,jakarta,timur",negatif
"engga,dong",netral
"thank,mimin",positif
"kirain,dari,kami,anteraja,indah",netral
cimtaku,netral
"paket,sampe,hari,lohh,padahal,pake,layan,nexday",negatif
"halah,tadi,ngetagnya,chika,jugaa,coba,upload,poto,bebebnya,nambah",netral
,netral
,netral
"emng,peduli,bebebku",netral
"pake,harap,flora,tapi,dapet,foto,dari,post,cakep,banget",netral
"kilas,kira,nadila,wkwkwk",netral
,negatif
"akhhhhhh,floraaaaa",netral
,netral
makas,positif
"kapan,photopack",netral
"anter,sungut,lele,kapan,mint",netral
"lama,banget,layan,udah,pick,dari,request,sekarang,didiemin,doang,airport,kota,asal,lelet,kerja",negatif
"ayang,flora,cakep,betulll",netral
,netral
"reply,with,give,katakata,semangat,puasa,sebentar,lagi,buka",netral
paket,negatif
"oshi,mint",negatif
"cantik,banget",netral
"christy,mana,bang",netral
thanks,netral
"ngepost,cewe",netral
"alhamdulillah,terimakasih",netral
"kenapa,beberapa,kali,begini,dengan,kendala,sama,helooo,adapa,yaaa,baru,post,kecewa,asli",negatif
"coba,tanya,seller,yang,sukabumi,paket,udah,tangan,kurir",netral
"menu,buka,puasa,hari",netral
"kyaaaaa,furora,chwaaannn,arigatouuu,anterusan",netral
"neng,mplor",netral
"bgmna,terang,lanjut,hari",netral
"makasih,admin",netral
,netral
peghh,netral
cubit,netral
"lucuuuu,nyaa",netral
"paket,dengan,resi,stuck,jakarta,utara,udah,hari,masa,dari,jakarta,timur,depok,bisa,sampe,hari,lebih,pake,reguler",negatif
"dong,kalo,satria,auto,nungguin,depan,pintu",netral
,netral
"hastag,ademin",netral
"buset,buset",netral
cantik,netral
"sering,upload,flora,soal,jarang",netral
waini,netral
"tapi,kemarin,bukan,mbak,kirim,paket",netral
adududuu,netral
"free,shotnya,kapan",netral
,netral
,netral
"baik,ramadan,pastibagihadiah,baiknyaramadan",netral
,netral
,netral
,netral
,netral
,netral
waini,netral
"baik,ramadan,pastibagihadiah,baiknyaramadan",netral
"halo,tlong,resi,kebumen,jkrt,emank,lewat,bantul",negatif
"makasih,makasih,makasih,miaw",positif
,netral
,negatif
,netral
"aman,tenang,oshi,saya,ituu,wkwkw",netral
,netral
,netral
,netral
,netral
,netral
"free,wallpaper",netral
"udah,kirim",netral
,netral
"postingan,akhir,instagram,kita,siapa,oshimu",netral
"notif,paket,akan,direturnini,bukan,paket,antar",netral
"banget,plis",negatif
"ekspedisi,kalau,order,sameday,biasa,jadi,entah,kapan",negatif
"hallo,tlng,baca",negatif
"kirim,pake,next,kenapa,udah,hari,sampe,kompensasi,ngga,bayar,nextday,dapetnya,reguler",negatif
"paket,hari,gerak,lagi,puasa,pusat,sortir,please,kalo,lupa,klik,ganti,anter,kalo,belanja",negatif
"tidak,tanggap,proses,refund,ongkos,kirim,saya,padahal,sudah,salah,twrm,service,sendiri,yang,sampai,pada,tuju,maximum,tapi,sampai,esok,hari,bagaimana,proses,refund,ongkir,saya,kalian,wanprestasi",negatif
"sudah,saya",positif
"silah,ngirim,paket",netral
"congrats,semua",netral
"terimakasih,mimin,baik",positif
"yeayyy,thankyouu",positif
"giveaway,closed,menang,akan,dapat,ewallet,masingmasing,ribu,mohon,tunggu,dari,gesss",netral
"baik,ramadan,pastibagihadiah,baiknyaramadan",netral
"baik,ramadan,pastibagihadiah,baiknyaramadan",netral
"kenapa,tweet,tidak,masuk,notif",netral
"paket,sudah,sampai,lokasi,sortir,diri,dari,maret,tapi,belum,update,sampai,hari,lanjut,gimana",negatif
"saya,juga,baru,saja,alami,kaksama,sekali,gaktau,kalo,ekspedisi,masalah,terus,akhir,barang,sampai,kakak",negatif
"mending,urusin,paket,muter,jaktim,jelas,sumpahhampir,minggu,muter,kayak,jalan,atau,punya,bensin",negatif
"parah,memang,anteraja,kurang,amanah,tidak,profesional",negatif
"kalian,emang,bisa,kasih,jelas,status",negatif
"sumpah,jelas,banget,kirim,dari,tangerang,jakarta,selatan,jelas,muter,guna,solusi,cuma,suruh,nunggu,puasa,bikin,kesel",negatif
"coba,resi,dari,kmren,muter,paket,gudang,hadehhh",negatif
"baik,ramadan,pastibagihadiah,baiknyaramadan,ikut",negatif
"mampus,diomelin,pacar,galak",negatif
"lama,nyampe,paket,tutup,mending",negatif
"mending,rebranding,jadi,anter,mana,jadi,suka,suka,kurir,nganter,mana,paket,nyasar,rumah,gatau,rumah,siapa,gimana",negatif
"halo,tolong,bantu,untuk,proses,antar,hari,paket,saya,resi,status,gagal,kirim,kemarin,sampe,sekarang,kirim,lagi,tolong,antar,hari,karena,paket,untuk,kado,orgnya,pulang,nanti,malem,terima,kasih",negatif
"kalian,masih,niat,nganter,paket,langgan,nggak,gila,sama,jakarta,minggu,kaga,kirim,amatir,jadi,jasa,kirim,mending,tutup,jasa,kirim",negatif
"dari,pertama,kali,nyobain,pake,ekspedisi,nyata,parah,inibarang,dipick,kurir,beli,maret,tapi,sampe,maret,status,berubahini,barang,saya,dipick,updibawa,mana,yakomplain,csbelom,dapet,solusi",negatif
,netral
"dari,sampe,skrg,belum,sampe,bandungjkt,udah,delivery,tunda,operasional,kalo,banyak,masalah,tutup,woiii,bener,ngaco,ekspedisi",negatif
"saya,diremehin,paket,saya,pick,lama,hari,beli,sampe,muak,marah,sama,saya,niat,kerja,saya,udah,lagi,pake,jasa,kalau,begini,ekspedisi,lain,langsung,pick,hari,juga,layan,juga,buruk,sekali",negatif
"baaguss,donh,respect,with",positif
"ckckckck,kenapa,komennya,batas,ditelfon,solusi,whatsapp,jawab,yang,kata,team,resolusi,pecatpecatin,orang,kalo,dapetdapet,solusi,udah,bulan,dokumen,usaha,entah,mana,gajelas",negatif
"ekspedisi,hilang,paket,jangan,pake,ekspedisi,lagi,juga,dokumen,perushaaan,entah,mana,jelas,bulan",negatif
"ekspedisi,hilang,dokumen,ckckckck,gaada,tanggungjawabnya,juga",negatif
"hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"kira,iklan,lagi,hahahah",netral
"makanya,pake,hahaha",positif
,negatif
"paket,saya,pick,dari,tanggal",negatif
"tinggal,jatinegara,kordinat,gambar,bukti,terima,matramaaaan",negatif
"fuck,your,customer,service,kagak,bales,whatsapp,juga,ngga,respon,nomor,telepon,ngga,aktiffff,tutup,usaha",negatif
"hananto,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"dessy,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"chat,anjir",negatif
"hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"natha,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"irfan,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"dari,rabu,pagi,sekali,sampai,hari,sudah,hari,akhir,pondok,bambu,tidakbelum,antar,juga,kenapa,tidak,bisa,amanahprofesional,saya,sudah,sering,sekali,alami,buruk,anteraja,barang,hilang,tukar,salah,alamat",negatif
"tegur,dong,turut,seller,tempat,saya,beli,barang,anteraja,sudah,sering,mangkir,kalau,sameday,orang,pilih,sameday,karena,ingin,pasti,sampai",negatif
"ceritain,keluh,kamu,mohon,informasi,juga,nomor,ticket,kamu,guna,cepat,penangangan,terima,kasih",netral
"live,chat,siap,bantu,keluh,transaksi,kamu,buka,dana,pilih,historyriwayat,pilih,transaksi,dilaporin,pilih,chat",netral
"semua,bisa,hubung,baik,pihak,jual,atau,pihak,selaku,ekspedisi",negatif
"coba,respon,barang,belum,pickup,tera,kendala,internal",negatif
"baik,ramadan,pastibagihadiah,baiknyaramadan",netral
"udah,anteraja,terus,bantu,alhamdulillah,udah,sampe,kakk",positif
"halo,pickup,paket,udah,lewat,estimasi",negatif
"tuhhh,gimana,dari,kemarin,tunda,mulu,karena,masalah,operasional",negatif
"tolong,bantu,paket,dengan,resi,saya,butuh,buat,siang,paket,tangerang,malah,kirim,bogor,terus,tangerang,lagi",negatif
"sibuk,smua,ngelayangin,smua,komplain,paket,kaga,sampe,sampe,bangsat",negatif
"barang,terima,udah,ngibul,terima,barang,mana,foto,seclose,mungkin,lantai,rumah,bukan,lantai,rumha,atau,tetangga,barang,mana,nyet",negatif
"karyawan,didik,dong,kalo,ngga,sanggup,menuhin,layan,jangan,ngibul,biar,kesan,menuhin,target",negatif
"gimana,anjr,minggu,paket,sampe,sampe,gajelas,banget",negatif
"paket,slalu,didiemin,gudang,lama,anjing,kesel,ampe,hari,lebih,pdhl,ekspedisi,lain",negatif
"hallo,kenapa,pesan,belum,udah,sampai,jakarta,timur,tapi,kenapa,balik,semarang",negatif
"tolong,dong,paket,saya,kapan,dipick,harus,dari,kemarin",negatif
"barang,ilang,hari,barang,mandek,kaga,lagi",negatif
,netral
"tulis,paketnga,udah,sampe,mana",netral
"hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"alisa,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,mulai,untuk,layan,alih,untuk,kakak,bisa,akun,anterajacare,agar,bisa,langsung,kami,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
cell,netral
,netral
"masih,sampe,hingga,saat",negatif
"rute,kirim,selalu,luar,nalar",negatif
"estimasi,sampe,besok,stuck,ampun,anteraja",negatif
"maeng,puasa,paskahbukan,puasa,ramadan",netral
"yang,semangat,puasa,biar,nyampai,buka,sore,maaf",netral
timdibanguninemak,netral
"resi,lambat,beberapa,kali,stuck,gerak,posisi,tlong",negatif
"kindly,check,your",negatif
"baik,ramadan,ikut,pastibagihadiah,baiknyaramadan",netral
"siapa,yang,juga,ngaku,baiknyaramadan",netral
"stuck,sampe,sekarang,padahal,estimasi,sampe,hari",negatif
"baik,ramadan,pake,pasti,lebih,baik",positif
"baik,ramadan,ikut,pastibagihadiah,baiknyaramadan",netral
"refund,nder,soal,juga,untung,paking,berapa,nder,bagai,admin,paling,cuma,apalagi,barang,udah,beliin,bener,bener,rugi,refund,dapet,duit,engga,rugi,malah,gimana,selesai,bener,dong",negatif
"nemu,search,paket,kakak,kabar,soal,paket,kayak",negatif
"nemu,search,paket,kakak,kabar,soal,paket,kayak",negatif
"nemu,search,paket,kakak,kabar,soal,paket,kayak",negatif
"template,basa,basi,busuk",negatif
"bobrok,asli,mending,tutup,gajelas,bgtpaket,ngestuck,situ,ajatlp,call,center,gabisadi,bales,botemail,dibalesini,karyawan,kurir,kerja,situtup,mendingkalo,ganiat,fakyu",negatif
"tanggap,gimana,nihgagal,kita,stadion,sambil,bawa,anteraja",negatif
,netral
"aplikasi,kamu,error",negatif
"ngga,ngga,sama,sama,babi,semua",negatif
"jadi,lagi,firasat,salah,pake,ekspedisi,pilih,product,malah,molor,kapokkapok",negatif
"esemgeteeeeee,kalian",negatif
"baik,ramadan,pastibagihadiah,baiknyaramadan",netral
"baik,ramadan,pastibagihadiah,baiknyaramadan",netral
"usah,heran,dengan,brand,yang",negatif
"baik,ramadan,pastibagihadiah,baiknyaramadan",netral
"baik,ramadan,pastibagihadiah,baiknyaramadan",netral
"kalo,sampe,keteter,harus,demand,naik,dong,yakali,demand,naik,eskalasi,nambah,karyawan,coba,jawab",negatif
"innovative,juga,perlu,tiru,kurir,lain,jual,beli,kota,yang,sama,tapi,kirim,jakarta,untuk,kirim,balik,kota,awal,mantap,moga,sukses,selaluuuu",negatif
"baik,ramadan,pastibagihadiah,baiknyaramadan",netral
best,netral
"baik,ramadan,pastibagihadiah,baiknyaramadan",netral
"gimana,biasa,pickup,barang",negatif
"jawab,baik,ramadan,pastibagihadiah,baiknyaramadan",netral
"check,minn",negatif
"baik,ramadan,pastibagihadiah,baiknyaramadan",netral
freyaaa,netral
"tolong,respon",negatif
"tolong,tangan,datengnya,next,percuma,dong,same",negatif
