Tweet,Clean Tweet,Lower Tweet,Tokenize,Stemming,Stopwords,Filter By Length,Label,Kata,Hitung
@anteraja_id @C_IndahJKT48 Dear Admin Anteraja https://t.co/VCqKR1uyfu,Dear Admin Anteraja,dear admin anteraja,"['dear', 'admin', 'anteraja']","dear,admin,anteraja","dear,admin,anteraja","dear,admin,anteraja",netral,"['dear', 'admin', 'anteraja']","{'dear': 1, 'admin': 1, 'anteraja': 1}"
@anteraja_id 10006938676847 next day kenapa malah lelet @anteraja_id,next day kenapa malah lelet,next day kenapa malah lelet,"['next', 'day', 'kenapa', 'malah', 'lelet']","next,day,kenapa,malah,lelet","next,day,lelet","next,lelet",negatif,"['next', 'lelet']","{'next': 1, 'lelet': 1}"
"@anteraja_id BAIKNYA Ramadan 
#PastiBagiHadiah 
#BaiknyaRamadan
@azanyanasti 
@dewalova_ieiend 
@esaspears_",BAIKNYA Ramadan PastiBagiHadiah BaiknyaRamadan,baiknya ramadan pastibagihadiah baiknyaramadan,"['baiknya', 'ramadan', 'pastibagihadiah', 'baiknyaramadan']","baik,ramadan,pastibagihadiah,baiknyaramadan","ramadan,pastibagihadiah,baiknyaramadan","ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
@anteraja_id #PastiLebihBaik,PastiLebihBaik,pastilebihbaik,['pastilebihbaik'],pastilebihbaik,pastilebihbaik,pastilebihbaik,netral,['pastilebihbaik'],{'pastilebihbaik': 1}
"@anteraja_id Definisi #BaiknyaRamadan versi wota adalah ketika menahan diri untuk tidak ikut dari segala tubiran di twitter. Ketika twit tubiran lewat di timeline, sebaiknya lanjut scroll agar tidak terpancing sehingga bisa mengurangi pahala puasa yang sedang dikerjakan.
#PastiBagiHadiah",Definisi BaiknyaRamadan versi wota adalah ketika menahan diri untuk tidak ikut dari segala tubiran di twitter Ketika twit tubiran lewat di timeline sebaiknya lanjut scroll agar tidak terpancing sehingga bisa mengurangi pahala puasa yang sedang dikerjakan PastiBagiHadiah,definisi baiknyaramadan versi wota adalah ketika menahan diri untuk tidak ikut dari segala tubiran di twitter ketika twit tubiran lewat di timeline sebaiknya lanjut scroll agar tidak terpancing sehingga bisa mengurangi pahala puasa yang sedang dikerjakan pastibagihadiah,"['definisi', 'baiknyaramadan', 'versi', 'wota', 'adalah', 'ketika', 'menahan', 'diri', 'untuk', 'tidak', 'ikut', 'dari', 'segala', 'tubiran', 'di', 'twitter', 'ketika', 'twit', 'tubiran', 'lewat', 'di', 'timeline', 'sebaiknya', 'lanjut', 'scroll', 'agar', 'tidak', 'terpancing', 'sehingga', 'bisa', 'mengurangi', 'pahala', 'puasa', 'yang', 'sedang', 'dikerjakan', 'pastibagihadiah']","definisi,baiknyaramadan,versi,wota,adalah,ketika,tahan,diri,untuk,tidak,ikut,dari,segala,tubir,di,twitter,ketika,twit,tubir,lewat,di,timeline,baik,lanjut,scroll,agar,tidak,pancing,sehingga,bisa,kurang,pahala,puasa,yang,sedang,kerja,pastibagihadiah","definisi,baiknyaramadan,versi,wota,tahan,tubir,twitter,twit,tubir,timeline,scroll,pancing,pahala,puasa,kerja,pastibagihadiah","definisi,baiknyaramadan,versi,wota,tahan,tubir,twitter,twit,tubir,timeline,scroll,pancing,pahala,puasa,kerja,pastibagihadiah",netral,"['definisi', 'baiknyaramadan', 'versi', 'wota', 'tahan', 'tubir', 'twitter', 'twit', 'tubir', 'timeline', 'scroll', 'pancing', 'pahala', 'puasa', 'kerja', 'pastibagihadiah']","{'definisi': 1, 'baiknyaramadan': 1, 'versi': 1, 'wota': 1, 'tahan': 1, 'tubir': 2, 'twitter': 1, 'twit': 1, 'timeline': 1, 'scroll': 1, 'pancing': 1, 'pahala': 1, 'puasa': 1, 'kerja': 1, 'pastibagihadiah': 1}"
Kapan paket sy di Anter nih min @anteraja_id 10006939398892 tinggal di bawa kurir aja ko lama bgt dr kmrn. Padahal barang cod loh ini,Kapan paket sy di Anter nih min tinggal di bawa kurir aja ko lama bgt dr kmrn Padahal barang cod loh ini,kapan paket sy di anter nih min tinggal di bawa kurir aja ko lama bgt dr kmrn padahal barang cod loh ini,"['kapan', 'paket', 'sy', 'di', 'anter', 'nih', 'min', 'tinggal', 'di', 'bawa', 'kurir', 'aja', 'ko', 'lama', 'bgt', 'dr', 'kmrn', 'padahal', 'barang', 'cod', 'loh', 'ini']","kapan,paket,sy,di,anter,nih,min,tinggal,di,bawa,kurir,aja,ko,lama,bgt,dr,kmrn,padahal,barang,cod,loh,ini","paket,sy,anter,nih,min,tinggal,bawa,kurir,aja,ko,bgt,dr,kmrn,barang,cod,loh","paket,anter,tinggal,bawa,kurir,kmrn,barang",negatif,"['paket', 'anter', 'tinggal', 'bawa', 'kurir', 'kmrn', 'barang']","{'paket': 1, 'anter': 1, 'tinggal': 1, 'bawa': 1, 'kurir': 1, 'kmrn': 1, 'barang': 1}"
Ini lho leletnya kurir rekomendasimu @TokopediaCare . Besok2 buang @anteraja_id @AnterajaCare dari list kurir rekomendasi Tokped! Tiap dapet rekomendasi kurirnya Anteraja kok mesti bermasalah. Dari hari rabu kok status menuju ke hub terus. Hub opoo???? https://t.co/6bM1svfxBb,Ini lho leletnya kurir rekomendasimu Besok buang dari list kurir rekomendasi Tokped Tiap dapet rekomendasi kurirnya Anteraja kok mesti bermasalah Dari hari rabu kok status menuju ke hub terus Hub opoo,ini lho leletnya kurir rekomendasimu besok buang dari list kurir rekomendasi tokped tiap dapet rekomendasi kurirnya anteraja kok mesti bermasalah dari hari rabu kok status menuju ke hub terus hub opoo,"['ini', 'lho', 'leletnya', 'kurir', 'rekomendasimu', 'besok', 'buang', 'dari', 'list', 'kurir', 'rekomendasi', 'tokped', 'tiap', 'dapet', 'rekomendasi', 'kurirnya', 'anteraja', 'kok', 'mesti', 'bermasalah', 'dari', 'hari', 'rabu', 'kok', 'status', 'menuju', 'ke', 'hub', 'terus', 'hub', 'opoo']","ini,lho,lelet,kurir,rekomendasi,besok,buang,dari,list,kurir,rekomendasi,tokped,tiap,dapet,rekomendasi,kurir,anteraja,kok,mesti,masalah,dari,hari,rabu,kok,status,tuju,ke,hub,terus,hub,opoo","lho,lelet,kurir,rekomendasi,besok,buang,list,kurir,rekomendasi,tokped,dapet,rekomendasi,kurir,anteraja,mesti,rabu,status,tuju,hub,hub,opoo","lelet,kurir,rekomendasi,besok,buang,list,kurir,rekomendasi,tokped,dapet,rekomendasi,kurir,anteraja,mesti,rabu,status,tuju,opoo",negatif,"['lelet', 'kurir', 'rekomendasi', 'besok', 'buang', 'list', 'kurir', 'rekomendasi', 'tokped', 'dapet', 'rekomendasi', 'kurir', 'anteraja', 'mesti', 'rabu', 'status', 'tuju', 'opoo']","{'lelet': 1, 'kurir': 3, 'rekomendasi': 3, 'besok': 1, 'buang': 1, 'list': 1, 'tokped': 1, 'dapet': 1, 'anteraja': 1, 'mesti': 1, 'rabu': 1, 'status': 1, 'tuju': 1, 'opoo': 1}"
"@aespacha Hi Kak, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk bisikin no resi kamu ke DM akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI",Hi Kak jgn risau ya Kendala paket kamu akan segera MinAja bantu Yuk bisikin no resi kamu ke DM akun baru kami di spy privasimu terjaga Trims PI,hi kak jgn risau ya kendala paket kamu akan segera minaja bantu yuk bisikin no resi kamu ke dm akun baru kami di spy privasimu terjaga trims pi,"['hi', 'kak', 'jgn', 'risau', 'ya', 'kendala', 'paket', 'kamu', 'akan', 'segera', 'minaja', 'bantu', 'yuk', 'bisikin', 'no', 'resi', 'kamu', 'ke', 'dm', 'akun', 'baru', 'kami', 'di', 'spy', 'privasimu', 'terjaga', 'trims', 'pi']","hi,kak,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,bisikin,no,resi,kamu,ke,dm,akun,baru,kami,di,spy,privasi,jaga,trims,pi","hi,kak,jgn,risau,ya,kendala,paket,maja,bantu,yuk,bisikin,no,resi,dm,akun,spy,privasi,jaga,trims,pi","risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral,"['risau', 'kendala', 'paket', 'maja', 'bantu', 'bisikin', 'resi', 'akun', 'privasi', 'jaga', 'trims']","{'risau': 1, 'kendala': 1, 'paket': 1, 'maja': 1, 'bantu': 1, 'bisikin': 1, 'resi': 1, 'akun': 1, 'privasi': 1, 'jaga': 1, 'trims': 1}"
GABERESSSS NI EKSPEDISI SATU!!!! @anteraja_id @AnterajaCare,GABERESSSS NI EKSPEDISI SATU,gaberessss ni ekspedisi satu,"['gaberessss', 'ni', 'ekspedisi', 'satu']","gaberessss,ni,ekspedisi,satu","gaberessss,ni,ekspedisi","gaberessss,ekspedisi",negatif,"['gaberessss', 'ekspedisi']","{'gaberessss': 1, 'ekspedisi': 1}"
"@anteraja_id BAIKNYA RAMADAN

Yuk ikutan juga @Tineyalfarel @ilham2720 @cellku80 
#PastiBagiHadiah 
#BaiknyaRamadan",BAIKNYA RAMADAN Yuk ikutan juga PastiBagiHadiah BaiknyaRamadan,baiknya ramadan yuk ikutan juga pastibagihadiah baiknyaramadan,"['baiknya', 'ramadan', 'yuk', 'ikutan', 'juga', 'pastibagihadiah', 'baiknyaramadan']","baik,ramadan,yuk,ikut,juga,pastibagihadiah,baiknyaramadan","ramadan,yuk,pastibagihadiah,baiknyaramadan","ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
berantam aja kita 😡😡😡😡 @anteraja_id jdekhdjdj besok perpisahan pake apaaaaa huhuhu miiiin cepatkan dulu pengirimannyaaa 😭😭😭😭😭,berantam aja kita jdekhdjdj besok perpisahan pake apaaaaa huhuhu miiiin cepatkan dulu pengirimannyaaa,berantam aja kita jdekhdjdj besok perpisahan pake apaaaaa huhuhu miiiin cepatkan dulu pengirimannyaaa,"['berantam', 'aja', 'kita', 'jdekhdjdj', 'besok', 'perpisahan', 'pake', 'apaaaaa', 'huhuhu', 'miiiin', 'cepatkan', 'dulu', 'pengirimannyaaa']","rantam,aja,kita,jdekhdjdj,besok,pisah,pake,apaaaaa,huhuhu,miiiin,cepat,dulu,pengirimannyaaa","rantam,aja,jdekhdjdj,besok,pisah,pake,apaaaaa,huhuhu,miiiin,cepat,pengirimannyaaa","rantam,jdekhdjdj,besok,pisah,pake,apaaaaa,huhuhu,miiiin,cepat,pengirimannyaaa",negatif,"['rantam', 'jdekhdjdj', 'besok', 'pisah', 'pake', 'apaaaaa', 'huhuhu', 'miiiin', 'cepat', 'pengirimannyaaa']","{'rantam': 1, 'jdekhdjdj': 1, 'besok': 1, 'pisah': 1, 'pake': 1, 'apaaaaa': 1, 'huhuhu': 1, 'miiiin': 1, 'cepat': 1, 'pengirimannyaaa': 1}"
"@anteraja_id min, gimana nih kurir nya salah kirim. Masak jauh banget kirimnya dari nomor 37 ke nomor 3 -___-",min gimana nih kurir nya salah kirim Masak jauh banget kirimnya dari nomor ke nomor,min gimana nih kurir nya salah kirim masak jauh banget kirimnya dari nomor ke nomor,"['min', 'gimana', 'nih', 'kurir', 'nya', 'salah', 'kirim', 'masak', 'jauh', 'banget', 'kirimnya', 'dari', 'nomor', 'ke', 'nomor']","min,gimana,nih,kurir,nya,salah,kirim,masak,jauh,banget,kirim,dari,nomor,ke,nomor","min,gimana,nih,kurir,nya,salah,kirim,masak,banget,kirim,nomor,nomor","gimana,kurir,salah,kirim,masak,banget,kirim,nomor,nomor",negatif,"['gimana', 'kurir', 'salah', 'kirim', 'masak', 'banget', 'kirim', 'nomor', 'nomor']","{'gimana': 1, 'kurir': 1, 'salah': 1, 'kirim': 2, 'masak': 1, 'banget': 1, 'nomor': 2}"
anteraja kenapa lelet kali sih mau nangis @anteraja_id,anteraja kenapa lelet kali sih mau nangis,anteraja kenapa lelet kali sih mau nangis,"['anteraja', 'kenapa', 'lelet', 'kali', 'sih', 'mau', 'nangis']","anteraja,kenapa,lelet,kali,sih,mau,nang","anteraja,lelet,kali,sih,nang","anteraja,lelet,kali,nang",negatif,"['anteraja', 'lelet', 'kali', 'nang']","{'anteraja': 1, 'lelet': 1, 'kali': 1, 'nang': 1}"
@anteraja_id @AnterajaCare Sudah saya DM ke akun @AnterajaCare,Sudah saya DM ke akun,sudah saya dm ke akun,"['sudah', 'saya', 'dm', 'ke', 'akun']","sudah,saya,dm,ke,akun","dm,akun",akun,negatif,['akun'],{'akun': 1}
