Filter By Length,Label
"halo,paket,resi,nyangkut,terang,delivery,tunda,operasional,same",negatif
"risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"definisi,baiknyaramadan,versi,orang,rela,tidur,bangunin,orang,sahur,keliling,komplek,bener,bener,ramadan,indah,pastilebihbaik",netral
"hepizen,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"baiknyaramadan,ibadah,pahala,limpah,harap,ridha,allah,berkah,manfaat,hidup",netral
"ngapa,sampe,nyasar,jakut,tolol,idiot",negatif
"coba,sambungin,kalimat,gambar,lupa,pakein,hashtag,baiknyaramadan,hadiah,spesial,anteraja,reply,tarik,tunggu,yaaa,pastilebihbaik",netral
"banget,kayak,paket,guedijakut,bensin,anter,hilang,dicancel,kasi,jualanpadahal,ulah",negatif
"hallo,pickup,pickup,coba,chat,respon,anteraja,nama",negatif
"kerja,bener,mulu,kalo,komplain",negatif
"definisi,baiknyaramadan,versi,orang,beli,takjil,makan,mesjid,orangorang,buka,puasa",netral
"baiknyaramadan,orang,lomba,lomba,laku,krna,sadar,penuh,berkah,pahala,lipat,ganda,contoh,bnyak,takjil,acara,masjid,jalan,raya,orang,muda,lomba,berkah",netral
"buka,puasa,ramadhan,lihat,senyum,orang,hati,senang,lihat,senyum,sampe,tetes,mata,terimakasih,baiknyaramadan,pastilebihbaik",netral
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"yudi,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"hepizen,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"halo,paket,sampe,pickup,gimana,solusi,kasi,customer",negatif
"esok,kaga,gerak,gerak,molor,kurir,kudu,jemput,kantor,pake,anteraja",negatif
menang,netral
"arti,paket,lambat,besok,airport,tuju,langsung,kirim,estimasi,lambat,minggu,mimin,minggu,libur,sampe,besok,siang,sore,status,barang,terima,arti",negatif
"banget,ngirimnya,bang",negatif
"hepizen,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"cakra,risau,minggu,proses,kirim,layan,kendala,move,akun,privasi,jaga,trims",netral
"acha,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"buruk,ekspedisi,barang,udah,pick,maksud,bohongin,tunggu,bilang,tanggung,sampe",negatif
"minggu,paket",netral
"tolong,paket,kirim,ngapain,nangkring,jakut",negatif
gemash,negatif
"suka,pake,anteraja,kirim,cepet,skrng,kecewa,sampe,pagi,status,ekspedisi,kirim,sampe",negatif
"chat,laku,investigasi,banget,investigasi,sampe,pagi,posisi,stuck,jakut,kecewa",negatif
"bagas,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"hepizen,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"hepizen,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"suci,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"hepizen,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"malan,balas",negatif
"reza,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"rahma,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"lulu,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"hepizen,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"celine,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"jeje,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"laras,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"entaraja,cepet,pick,paket,resi,puasa,bikin,gondok,pick,lelet",negatif
"beli,barang,maret,ekspedisi,pake,sampe,nyampe,ngajuin,refund,ngirim,bukti,invoice,maret,proses,tunggu,gataunya,maret,zonkkk,ampasssssss",negatif
"paket,kemanain,muter,doang",negatif
"sortir,gudang,sunternya,manual,sampe,ngestuck,minggu",negatif
"jess,cerita,order,bday,tshirt,tanggal,tanggal,paket,buka,motor,untung,komplain,merc,duit,dibalikin,order,ulang,shirt,salah,selesai",negatif
"belanja,online,kirim,pake,sampe,tangerang,selatan,doang,meanwhile,paket,crossborder,kirim,udah,sampe,lucu",negatif
"ramadan,pastibagihadiah,baiknyaramadan",netral
"anteraja,kirim,barang,langsung,rumah,konsumen",netral
"nunggu,lebarankh",negatif
"belumdan,udah,dibatalin,platform,commercenya",negatif
"gimana,paket,customer,hilang,cecer,rugi,udah,barang,ilang,cust,uang,ngga,dapet,uang,rugi",negatif
"ramadan,sobat,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"wkwk,bangsatria",netral
"halo,gimana,casenya,pilih,kirim,sameday,nyata,samedaynya,anteraja,fikir,grabgojek,paket,terima,udah,selesai,ckckckc,janganpilihanteraja,boikotanteraja",negatif
"makasih,cinta,dehh",positif
"bang,satria,pacar,akuu",netral
"adel,donk",netral
subhanallah,netral
"cakep,banget,masyaallah",negatif
"sempet,nyasar,bogor,tinggal,anter,operasional,ngerti",negatif
"bojo,kulo",netral
"kirim,pake,frozen",positif
"kirim,resi,tolong,update,status",netral
"hallo,order,refund,konfirmasi,udah,refund,terang,udah,komplain,tunggu,infestigasi,status,udah,terima,seller",negatif
"aduh,makasih",positif
"paket,bawa,rumah,kurir,kali,sore,sampe,paket,sampe",negatif
"pake,ekspedisi,udah,jual,pake,ekspedisi,jual,bilang,otomatis,shopee,ngatur,males,lanja,shopee,kalo,ketemu,ekspedisi,lelet",negatif
"ngga,benah,ekspedisi,heran,cape,capek,kali,kecewa,layan,anter,jktdepok,minggu,nyampenya,tangerangjaktim,minggu,nyasar,lelet,ngawur,moga,barang,rusakhilang",negatif
"fureya,minn",netral
"mantap,suka,suka",positif
"nganterin,bday,tshirtnya,flora,cantik,yaaa",positif
"pick,paket,paket,blum,dipick,pick,counter",netral
ajak,netral
"haloooo,kecewa,paket,pesan,ekspedisi,beda,udah,kali,please,tolong,jakarta,timur",negatif
engga,netral
"thank,mimin",positif
"kirain,anteraja,indah",netral
cimtaku,netral
"paket,sampe,lohh,pake,layan,nexday",negatif
"halah,ngetagnya,chika,jugaa,coba,upload,poto,bebebnya,nambah",netral
"emng,peduli,bebebku",netral
"pake,harap,flora,dapet,foto,post,cakep,banget",netral
"kilas,nadila,wkwkwk",netral
"akhhhhhh,floraaaaa",netral
makas,positif
photopack,netral
"anter,sungut,lele,mint",netral
"banget,layan,udah,pick,request,didiemin,doang,airport,kota,lelet,kerja",negatif
"ayang,flora,cakep,betulll",netral
"reply,with,give,katakata,semangat,puasa,sebentar,buka",netral
paket,negatif
"oshi,mint",negatif
"cantik,banget",netral
"christy,bang",netral
thanks,netral
"ngepost,cewe",netral
"alhamdulillah,terimakasih",netral
"kali,kendala,helooo,adapa,yaaa,post,kecewa,asli",negatif
"coba,seller,sukabumi,paket,udah,tangan,kurir",netral
"menu,buka,puasa",netral
"kyaaaaa,furora,chwaaannn,arigatouuu,anterusan",netral
"neng,mplor",netral
"bgmna,terang",netral
"makasih,admin",netral
peghh,netral
cubit,netral
"lucuuuu,nyaa",netral
"paket,resi,stuck,jakarta,utara,udah,jakarta,timur,depok,sampe,pake,reguler",negatif
"kalo,satria,auto,nungguin,pintu",netral
"hastag,ademin",netral
"buset,buset",netral
cantik,netral
"upload,flora,jarang",netral
waini,netral
"kemarin,mbak,kirim,paket",netral
adududuu,netral
"free,shotnya",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
waini,netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"halo,tlong,resi,kebumen,jkrt,emank,bantul",negatif
"makasih,makasih,makasih,miaw",positif
"aman,tenang,oshi,ituu,wkwkw",netral
"free,wallpaper",netral
"udah,kirim",netral
"postingan,instagram,oshimu",netral
"notif,paket,direturnini,paket",netral
"banget,plis",negatif
"ekspedisi,order,sameday",negatif
"hallo,tlng,baca",negatif
"kirim,pake,next,udah,sampe,kompensasi,ngga,bayar,nextday,dapetnya,reguler",negatif
"paket,gerak,puasa,pusat,sortir,please,kalo,lupa,klik,ganti,anter,kalo,belanja",negatif
"tanggap,proses,refund,ongkos,kirim,salah,twrm,service,tuju,maximum,esok,proses,refund,ongkir,wanprestasi",negatif
"silah,ngirim,paket",netral
congrats,netral
"terimakasih,mimin",positif
"yeayyy,thankyouu",positif
"giveaway,closed,menang,ewallet,masingmasing,ribu,mohon,tunggu,gesss",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"tweet,masuk,notif",netral
"paket,lokasi,sortir,maret,update,gimana",negatif
"alami,kaksama,gaktau,kalo,ekspedisi,barang,kakak",negatif
"mending,urusin,paket,muter,jaktim,sumpahhampir,minggu,muter,kayak,jalan,bensin",negatif
"parah,anteraja,amanah,profesional",negatif
"emang,kasih,status",negatif
"sumpah,banget,kirim,tangerang,jakarta,selatan,muter,solusi,suruh,nunggu,puasa,bikin,kesel",negatif
"coba,resi,kmren,muter,paket,gudang,hadehhh",negatif
"ramadan,pastibagihadiah,baiknyaramadan",negatif
"mampus,diomelin,pacar,galak",negatif
"nyampe,paket,tutup,mending",negatif
"mending,rebranding,anter,suka,suka,kurir,nganter,paket,nyasar,rumah,gatau,rumah,gimana",negatif
"halo,tolong,bantu,proses,paket,resi,status,gagal,kirim,kemarin,sampe,kirim,tolong,paket,kado,orgnya,pulang,malem,terima,kasih",negatif
"niat,nganter,paket,langgan,nggak,gila,jakarta,minggu,kaga,kirim,amatir,jasa,kirim,mending,tutup,jasa,kirim",negatif
"kali,nyobain,pake,ekspedisi,nyata,parah,inibarang,dipick,kurir,beli,maret,sampe,maret,status,berubahini,barang,dipick,updibawa,yakomplain,csbelom,dapet,solusi",negatif
"sampe,skrg,sampe,bandungjkt,udah,delivery,tunda,operasional,kalo,tutup,woiii,bener,ngaco,ekspedisi",negatif
"diremehin,paket,pick,beli,sampe,muak,marah,niat,kerja,udah,pake,jasa,ekspedisi,langsung,pick,layan,buruk",negatif
"baaguss,donh,respect,with",positif
"ckckckck,komennya,batas,ditelfon,solusi,whatsapp,team,resolusi,pecatpecatin,orang,kalo,dapetdapet,solusi,udah,dokumen,usaha,gajelas",negatif
"ekspedisi,hilang,paket,pake,ekspedisi,dokumen,perushaaan",negatif
"ekspedisi,hilang,dokumen,ckckckck,gaada,tanggungjawabnya",negatif
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"iklan,hahahah",netral
"pake,hahaha",positif
"paket,pick,tanggal",negatif
"tinggal,jatinegara,kordinat,gambar,bukti,terima,matramaaaan",negatif
"fuck,your,customer,service,kagak,bales,whatsapp,ngga,respon,nomor,telepon,ngga,aktiffff,tutup,usaha",negatif
"hananto,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"dessy,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"chat,anjir",negatif
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"natha,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"irfan,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"rabu,pagi,pondok,bambu,tidakbelum,amanahprofesional,alami,buruk,anteraja,barang,hilang,tukar,salah,alamat",negatif
"tegur,seller,beli,barang,anteraja,mangkir,sameday,orang,pilih,sameday",negatif
"ceritain,keluh,mohon,informasi,nomor,ticket,cepat,penangangan,terima,kasih",netral
"live,chat,bantu,keluh,transaksi,buka,dana,pilih,historyriwayat,pilih,transaksi,dilaporin,pilih,chat",netral
"hubung,jual,ekspedisi",negatif
"coba,respon,barang,pickup,tera,kendala,internal",negatif
"ramadan,pastibagihadiah,baiknyaramadan",netral
"udah,anteraja,bantu,alhamdulillah,udah,sampe,kakk",positif
"halo,pickup,paket,udah,estimasi",negatif
"tuhhh,gimana,kemarin,tunda,mulu,operasional",negatif
"tolong,bantu,paket,resi,butuh,siang,paket,tangerang,kirim,bogor,tangerang",negatif
"sibuk,smua,ngelayangin,smua,komplain,paket,kaga,sampe,sampe,bangsat",negatif
"barang,terima,udah,ngibul,terima,barang,foto,seclose,lantai,rumah,lantai,rumha,tetangga,barang,nyet",negatif
"karyawan,didik,kalo,ngga,sanggup,menuhin,layan,ngibul,biar,kesan,menuhin,target",negatif
"gimana,anjr,minggu,paket,sampe,sampe,gajelas,banget",negatif
"paket,slalu,didiemin,gudang,anjing,kesel,ampe,pdhl,ekspedisi",negatif
"hallo,pesan,udah,jakarta,timur,semarang",negatif
"tolong,paket,dipick,kemarin",negatif
"barang,ilang,barang,mandek,kaga",negatif
"tulis,paketnga,udah,sampe",netral
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"alisa,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral
cell,netral
sampe,negatif
"rute,kirim,nalar",negatif
"estimasi,sampe,besok,stuck,ampun,anteraja",negatif
"maeng,puasa,paskahbukan,puasa,ramadan",netral
"semangat,puasa,biar,nyampai,buka,sore,maaf",netral
timdibanguninemak,netral
"resi,lambat,kali,stuck,gerak,posisi,tlong",negatif
"kindly,check,your",negatif
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ngaku,baiknyaramadan",netral
"stuck,sampe,estimasi,sampe",negatif
"ramadan,pake",positif
"ramadan,pastibagihadiah,baiknyaramadan",netral
"refund,nder,untung,paking,nder,admin,barang,udah,beliin,bener,bener,rugi,refund,dapet,duit,engga,rugi,gimana,selesai,bener",negatif
"nemu,search,paket,kakak,kabar,paket,kayak",negatif
"nemu,search,paket,kakak,kabar,paket,kayak",negatif
"nemu,search,paket,kakak,kabar,paket,kayak",negatif
"template,basa,basi,busuk",negatif
"bobrok,asli,mending,tutup,gajelas,bgtpaket,ngestuck,situ,ajatlp,call,center,gabisadi,bales,botemail,dibalesini,karyawan,kurir,kerja,situtup,mendingkalo,ganiat,fakyu",negatif
"tanggap,gimana,nihgagal,stadion,bawa,anteraja",negatif
"aplikasi,error",negatif
"ngga,ngga,babi",negatif
"firasat,salah,pake,ekspedisi,pilih,product,molor,kapokkapok",negatif
esemgeteeeeee,negatif
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"heran,brand",negatif
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"kalo,sampe,keteter,demand,yakali,demand,eskalasi,nambah,karyawan,coba",negatif
"innovative,tiru,kurir,jual,beli,kota,kirim,jakarta,kirim,kota,mantap,moga,sukses,selaluuuu",negatif
"ramadan,pastibagihadiah,baiknyaramadan",netral
best,netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"gimana,pickup,barang",negatif
"ramadan,pastibagihadiah,baiknyaramadan",netral
"check,minn",negatif
"ramadan,pastibagihadiah,baiknyaramadan",netral
freyaaa,netral
"tolong,respon",negatif
"tolong,tangan,datengnya,next,same",negatif
"halo,udah,muncul,resi,tinggal,nunggu,pick,pick,sampe,sekarangg",negatif
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadhan,pastibagihadiah,baiknyaramadhan",netral
iyah,netral
"segel,ninjutsu,kuchiyose,cepio",netral
"blangsak,emang,bang",negatif
"bener,bener,paket,nyampe,udah,buka,label,robek",negatif
"ramadhan,pastibagihadiah,baiknyaramadan",netral
semangat,netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"bikenya,ramadan,ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"orang,ngerti,langsung,tiktoknya,anteraja,jamin,ngikngik,nontonin,drama,komplek,rempong,lihat,mari",netral
iyaa,netral
"ramadhan,pastibagihadiah,baiknyaramadan",netral
"paket,salah,alamat,kirim,tolong,baca,kurir,paham,alamat,kurir,paket",negatif
"ramadhan,pastibagihadiah,baiknyaramadan",netral
"kali,super,ekspedisi,ekspedisi,bener,tanggung,alias,kabur,hilang,barang,akses,buah,hasil,claim,progress,enak,report",negatif
"paket,gerak",negatif
"bikenya,ramadan,alias,ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"siapp,ashell",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"arti,ajarin,gera,tangan",netral
"woooiiiii,paket,guee,minggu,nyampe,pdhal,jabar,nyampe,kota,tuju",negatif
"ramadan,pastibagihadiah,baiknyaramadan,guys",netral
"kulkas,kost,kulkas,kantor",netral
"shappp,sayang",netral
"ramadan,pastibagihadiah,baiknyaramadan,kuis,guys,moga,untung,amin",netral
"ramadhan,bang,bang,pastibagihadiah,baiknyaramadan",netral
"ramadhan,pastibagihadiah,baiknyaramadan",netral
pukulin,negatif
acelll,netral
"tolong,pickup,paket,cepat,rumah,ngga,ambil",negatif
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadhan,pastibagihadiah,baiknyaramadan",netral
"bikenya,ramadan,ramadan,gaes,pastibagihadiah,baiknyaramadan",netral
"jawabanya,ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"jaga,liat,jalan,macet",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadanpake,pastibagihadiah,baiknyaramadan",netral
"semangat,puasa",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"terkahir,kali,pake,gila,ngotak,emng,kalo,paket,sampe,pake",negatif
"ramadan,pake,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pake,baiknyaramadan,pastibagihadiah",netral
"ramadhan,sabi,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan,teman",netral
"suka,anjuy,kalo,jalan",netral
"bikebaiknya,ramadhan,guys,pastibagihadiah,baiknyaramadan,moga,untung,aamiin",netral
"thanks,remindernya,iklan,wkwkwk",netral
"capek,nunggu,paket,sortir,olshop,pake,jasa,skip,males,gitu,lamaaaaa,nyampe,muter,males,urus,ekspedisi,sampe,ambil,langsung,gudang",negatif
bohong,netral
"ramadhan,pastibagihadiah,baiknyaramadan,modal",netral
"semangat,puasa",netral
"ramadhan,pastibagihadiah,baiknyaramadan",netral
semangat,netral
"masya,allah,ashelyah",netral
"ramadan,baiknyaramadan",netral
bawa,netral
donng,netral
"rusa,jaga,semangat",positif
aceng,netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
marah,positif
"ramadan,pastibagihadiah,baiknyaramadan",netral
wokeii,netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
btull,netral
"kalo,pake,kurir",negatif
sayang,netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
semangat,positif
syappppp,netral
"barusan,nyetir,jalan,kendara,ngeselin,auto,kasar,maap,bawa,marah",negatif
"semangat,puasa",netral
cyurrrr,negatif
shel,netral
chuuuaks,netral
promosi,netral
okeee,netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
acel,netral
"smngt,puasa",netral
puasa,negatif
adzana,netral
"acel,kangennnnnn",netral
disemangatin,netral
aceng,netral
acel,netral
bossss,netral
achel,netral
siapp,netral
"baiknyaramadan,kali,jaga,semangat,puasa",netral
"customer,service,sibuk,twitter,direspon,kalo,kendala,lapor",negatif
"ramadan,gaskiii,pastibagihadiah,baiknyaramadan",netral
"customer,service,sibuk,twitter,direspon,kalo,kendala,lapor",negatif
"ramadan,pastibagihadiah,baiknyaramadan",netral
"bikenya,rama,pastibagihadiah,baiknyaramadan",netral
"ramadhan,pastibagihadiah,baiknyaramadan,doain,gaes,have,nice",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan,untung,moga,untung,ramadhan,maaf,maksa,mint,wkwkw",netral
"ramadan,pastibagihadiah,baiknyaramadhan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"hepizen,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"fina,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"denny,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"riyan,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"veronika,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"juan,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"hepizen,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"bintang,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"raih,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"okvat,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"awas,kalo,sampe,dipickup",negatif
"okvat,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"geri,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"nina,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,pastibagihadiah,baiknyaramadan",netral
"ramadan,baiknyaramadan,pastibagihadiah",netral
"ramadan,skuyyy,pastibagihadiah,baiknyaramadan",netral
